ReportingPeriodStartDate,ReportingPeriodEndDate,OrgCode,MeasureID,MeasureName,Valid_Suppressed,Default_Suppressed,Invalid_Suppressed,Missing_Suppressed,Denominator_Suppressed
01/04/2022,31/03/2023,AKR01,IDQ04,Gender,3185,*,*,*,3185
01/04/2022,31/03/2023,AKR01,IDQ05,Ethnic Category,3165,20,*,*,3185
01/04/2022,31/03/2023,AKR01,IDQ06,Ex-British Armed Forces Indicator,3185,*,*,*,3185
01/04/2022,31/03/2023,AKR01,IDQ08,Disability Code,3265,*,*,*,3265
01/04/2022,31/03/2023,AKR01,IDQ09,Sexual Orientation Code,1450,*,*,1735,3185
01/04/2022,31/03/2023,AKR01,IDQ10,Religion Code,2300,*,*,885,3185
01/04/2022,31/03/2023,AKR01,IDQ11,Referral Received Date,3185,*,*,*,3185
01/04/2022,31/03/2023,AKR01,IDQ12,Referral Discharge Date,2335,*,*,850,3185
01/04/2022,31/03/2023,AKR01,IDQ13,Referral Discharge Reason,2335,*,*,*,2335
01/04/2022,31/03/2023,AKR01,IDQ16,Organisation Identifier (Code of Commissioner),3185,*,*,*,3185
01/04/2022,31/03/2023,AKR01,IDQ17,Consultation Medium Used,8385,*,175,*,8555
01/04/2022,31/03/2023,AKR01,IDQ18,Care Contact Therapy Mode,8555,*,*,*,8555
01/04/2022,31/03/2023,AKR01,IDQ19,Psychotropic Medication Usage Indicator Code,8530,30,*,*,8555
01/04/2022,31/03/2023,AKR01,IDQ20,Internet Enabled Therapy Programme,*,*,*,8555,8555
01/04/2022,31/03/2023,AKR01,IDQ21,Long Term Condition Flag,8555,*,*,*,8555
01/04/2022,31/03/2023,AKR01,IDQ22,Care Activity Therapy Type,10855,*,*,*,10855
01/04/2022,31/03/2023,AKR01,IDQ26,Adult Mental Health Care Cluster,3185,*,*,*,3185
01/04/2022,31/03/2023,AKR01,IDQ31,Assessment of Initial Caseness,985,*,*,*,985
01/04/2022,31/03/2023,AKR01,IDQ32,Paired Score Completeness,985,*,*,*,985
01/04/2022,31/03/2023,AKR01,IDQ33,ADSM Completeness,*,*,*,*,985
01/04/2022,31/03/2023,AKR01,IDQ38,Validity of Treatment Questionnaire Date,4775,*,35,*,4805
01/04/2022,31/03/2023,AKR01,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),4655,*,65,*,4715
01/04/2022,31/03/2023,AKR01,IDQ40,Validity of Treatment Questionnaire Question 1 Score,480,*,*,*,480
01/04/2022,31/03/2023,AKR01,IDQ41,Validity of Treatment Questionnaire Question 2 Score,480,*,*,*,480
01/04/2022,31/03/2023,AKR01,IDQ42,Validity of Treatment Questionnaire Question 3 Score,480,*,*,*,480
01/04/2022,31/03/2023,AKR01,IDQ43,Validity of Treatment Questionnaire Question 4 Score,480,*,*,*,480
01/04/2022,31/03/2023,AKR01,IDQ44,Validity of Treatment Questionnaire Question 5 Score,475,*,*,*,475
01/04/2022,31/03/2023,AKR01,IDQ45,Validity of Treatment Questionnaire Question 6 Score,485,*,*,*,485
